id,category,question,answer,difficulty,source
1,Founders,"Who are the co-founders of Alcoholics Anonymous?","Bill Wilson (Bill W.) and Dr. Robert Smith (Dr. Bob)",easy,"AA History"
2,Founders,"On what date did Bill W. and Dr. Bob have their first meeting?","June 10, 1935, in Akron, Ohio",medium,"AA History"
3,Founders,"What was Bill W.'s occupation before he got sober?","He was a Wall Street stockbroker and financial investigator",medium,"AA History"
4,Founders,"What was Dr. Bob's medical specialty?","He was a proctologist and surgeon in Akron, Ohio",medium,"AA History"
5,Founders,"Who introduced Bill W. to Dr. Bob?","Henrietta Seiferling, a member of the Oxford Group",hard,"AA History"
6,Founders,"What was Bill W.'s sobriety date?","December 11, 1934",medium,"AA History"
7,Founders,"What was Dr. Bob's sobriety date and why is it significant?","June 10, 1935 — considered the founding date of AA",medium,"AA History"
8,Founders,"Where did Bill W. have his spiritual experience?","Towns Hospital in New York City, during his fourth stay",hard,"AA History"
9,Founders,"What were Dr. Bob's last words to the fellowship?","His parting words at the 1950 Convention: 'Love and Service'",medium,"AA History"
10,Founders,"Where was Bill W. born?","East Dorset, Vermont, on November 26, 1895",medium,"AA History"
11,Founders,"Where was Dr. Bob born?","St. Johnsbury, Vermont, on August 8, 1879",medium,"AA History"
12,Founders,"What was the name of Bill W.'s wife?","Lois Wilson, who later co-founded Al-Anon",medium,"AA History"
13,Founders,"What was the name of Dr. Bob's wife?","Anne Ripley Smith, often called 'the mother of AA'",hard,"AA History"
14,Founders,"How long did Bill and Dr. Bob's first conversation last?","Over six hours — it was supposed to be 15 minutes",medium,"AA History"
15,Founders,"What was Bill W.'s full name?","William Griffith Wilson",easy,"AA History"
16,Founders,"What was Dr. Bob's full name?","Robert Holbrook Smith",easy,"AA History"
17,Big Book,"When was the Big Book first published?","April 10, 1939",easy,"AA Literature"
18,Big Book,"How many personal stories were in the first edition?","29 personal stories",medium,"AA Literature"
19,Big Book,"What was the original price of the first edition Big Book?","$3.50",medium,"AA Literature"
20,Big Book,"Why is the book called the 'Big Book'?","Printed on the thickest paper available to look like a substantial value for $3.50",medium,"AA Literature"
21,Big Book,"How many copies have been sold worldwide?","Over 40 million copies in over 70 languages",easy,"AA Literature"
22,Big Book,"Who wrote the chapter 'To Wives'?","Bill Wilson wrote it, though it was intended to be written by Lois Wilson",hard,"AA Literature"
23,Big Book,"What was a working title of the Big Book?","Several were considered: 'The Way Out' and 'One Hundred Men'",hard,"AA Literature"
24,Big Book,"How many editions of the Big Book exist?","Four editions: 1939, 1955, 1976, and 2001",medium,"AA Literature"
25,Big Book,"How many copies were in the first printing?","4,585 copies",hard,"AA Literature"
26,Big Book,"What pages of the Big Book remain unchanged across all editions?","The first 164 pages of the basic text",medium,"AA Literature"
27,Big Book,"Who wrote the Doctor's Opinion in the Big Book?","Dr. William D. Silkworth of Towns Hospital",medium,"AA Literature"
28,Big Book,"What chapter is considered the heart of the Big Book?","Chapter 5: 'How It Works'",medium,"AA Literature"
29,Big Book,"What is the last line of the Big Book's basic text?","'God could and would if He were sought' is the famous closing of the text on page 164",hard,"AA Literature"
30,Big Book,"What promise appears on pages 83-84 of the Big Book?","The Promises — including 'We will not regret the past nor wish to shut the door on it'",medium,"AA Literature"
31,Big Book,"How many languages has the Big Book been translated into?","Over 70 languages",easy,"AA Literature"
32,Traditions,"How many Traditions does AA have?","Twelve Traditions",easy,"AA Traditions"
33,Traditions,"When were the Twelve Traditions formally adopted?","1950 at the First International Convention in Cleveland, Ohio",medium,"AA Traditions"
34,Traditions,"What does Tradition One state?","Our common welfare should come first; personal recovery depends upon AA unity",medium,"AA Traditions"
35,Traditions,"What does Tradition Three say about membership?","The only requirement for AA membership is a desire to stop drinking",easy,"AA Traditions"
36,Traditions,"What does Tradition Seven mean?","Every AA group ought to be fully self-supporting, declining outside contributions",easy,"AA Traditions"
37,Traditions,"What does Tradition Twelve emphasize?","Anonymity is the spiritual foundation of all our Traditions",medium,"AA Traditions"
